"code","name_en","continent"
"FINL006","Finland","Europe"
"FINL007","Finland","Europe"
"FINL009","Finland","Europe"
"FINL005","Finland","Europe"
"FINL008","Finland","Europe"
"FINL057","Finland","Europe"
"FINL054","Finland","Europe"
"FINL055","Finland","Europe"
"FINL056","Finland","Europe"
"FINL003","Finland","Europe"
"FINL018","Finland","Europe"
"FINL016","Finland","Europe"
"FINL014","Finland","Europe"
"VIET001","Vietnam","Asia"
"BELG002","Belgium","Europe"
"BELG004","Belgium","Europe"
"GEOR001","Georgia","Asia"
"YUGO006","Republic of Macedonia","Europe"
"TURK013","Turkey","Asia"
"TURK014","Turkey","Asia"
"TURK021","Turkey","Asia"
"TURK032","Turkey","Asia"
"TURK031","Turkey","Asia"
"TURK015","Turkey","Asia"
"TURK018","Turkey","Asia"
"TURK019","Turkey","Asia"
"TURK020","Turkey","Asia"
"TURK005","Turkey","Asia"
"TURK006","Turkey","Asia"
"TURK001","Turkey","Asia"
"TURK002","Turkey","Asia"
"TURK003","Turkey","Asia"
"TURK004","Turkey","Asia"
"TURK010","Turkey","Asia"
"TURK009","Turkey","Asia"
"TURK011","Turkey","Asia"
"TURK012","Turkey","Asia"
"TURK008","Turkey","Asia"
"TURK027","Turkey","Asia"
"TURK024","Turkey","Asia"
"TURK023","Turkey","Asia"
"TURK022","Turkey","Asia"
"TURK042","Turkey","Asia"
"TURK041","Turkey","Asia"
"TURK035","Turkey","Asia"
"TURK028","Turkey","Asia"
"TURK025","Turkey","Asia"
"TURK036","Turkey","Asia"
"TURK037","Turkey","Asia"
"TURK039","Turkey","Asia"
"TURK038","Turkey","Asia"
"TURK040","Turkey","Asia"
"TURK026","Turkey","Asia"
"SPAI057","Spain","Europe"
"SPAI059","Spain","Europe"
"SPAI056","Spain","Europe"
"SPAI002","Spain","Europe"
"SPAI004","Spain","Europe"
"SPAI006","Spain","Europe"
"SPAI041","Spain","Europe"
"SPAI040","Spain","Europe"
"SPAI043","Spain","Europe"
"SPAI044","Spain","Europe"
"SPAI025","Spain","Europe"
"SPAI028","Spain","Europe"
"SPAI026","Spain","Europe"
"SPAI047","Spain","Europe"
"SPAI048","Spain","Europe"
"SPAI049","Spain","Europe"
"SPAI050","Spain","Europe"
"SPAI051","Spain","Europe"
"SPAI023","Spain","Europe"
"SPAI024","Spain","Europe"
"SPAI052","Spain","Europe"
"SPAI027","Spain","Europe"
"SPAI030","Spain","Europe"
