"Tree_id","Sample"
"OSP_QT1","OSP0004"
"OSP_QT1","OSP0005"
"OSP_QT1","OSP0007"
"OSP_QT1","OSP0010"
"POM3_QT1","POM3008"
"POM3_QT1","POM3009"
"POM4_QT1","POM4001"
"POM4_QT1","POM4002"
"POM4_QT1","POM4004"
"ROSN_QT1","ROSN101"
"ROSN_QT1","ROSN102"
"ROSN_QT1","ROSN103"
"SARR6QT1","SARR602"
"SARR6QT1","SARR619"
"SARR6QT1","SARR637"
"SARR6QT2","SARR603"
"SARR6QT2","SARR623"
"SARR6QT2","SARR625"
"SARR6QT2","SARR630"
"SARR6QT2","SARR634"
"SARR6QT3","SARR618"
"SARR6QT3","SARR622"
"SARR6QT3","SARR633"
"SARR6QT3","SARR638"
"SAUL_QT1","SAUL101"
"SAUL_QT1","SAUL109"
"SAUL_QT2","SAUL108"
"SAUL_QT2","SAUL111"
"SILL_QT1","SILL104"
"SILL_QT1","SILL114"
"SILL_QT1","SILL140"
"SILL_QT1","SILL141"
"SILL_QT1","SILL153"
"SILL_QT2","SILL109"
"SILL_QT2","SILL116"
"SILL_QT2","SILL124"
"SILL_QT2","SILL136"
"SILL_QT2","SILL138"
"SILL_QT2","SILL142"
"SILL_QT2","SILL144"
"SILL_QT2","SILL145"
"SILL_QT3","SILL107"
"SILL_QT3","SILL108"
"SILL_QT3","SILL131"
"SILL_QT4","SILL103"
"SILL_QT4","SILL118"
"SILL_QT5","SILL126"
"SILL_QT5","SILL130"
"SILL_QT6","SILL119"
"SILL_QT6","SILL121"
"SILL_QT6","SILL125"
"SILL_QT6","SILL127"
"SILL_QT6","SILL133"
"SILL_QT7","SILL147"
"SILL_QT7","SILL149"
"TREM_QT1","TREM201"
"TREM_QT1","TREM202"
"TREM_QT1","TREM203"
"TREM_QT1","TREM204"
"TREM_QT1","TREM205"
"TREM_QT1","TREM206"
"TREM_QT1","TREM207"
"TREM_QT1","TREM208"
"TROYQT01","TROY106"
"TROYQT01","TROY108"
"TROYQT01","TROY133"
"TROYQT01","TROY161"
"TROYQT01","TROY162"
"TROYQT02","TROY012"
"TROYQT02","TROY022"
"TROYQT02","TROY062"
"TROYQT02","TROY063"
"TROYQT02","TROY064"
"TROYQT02","TROY065"
"TROYQT02","TROY067"
"TROYQT02","TROY068"
"TROYQT03","TROY023"
"TROYQT03","TROY026"
"TROYQT03","TROY057"
"TROYQT03","TROY073"
"TROYQT04","TROY070"
"TROYQT04","TROY075"
"TROYQT04","TROY136"
"TROYQT04","TROY141"
"TROYQT05","TROY179"
"TROYQT05","TROY194"
"TROYQT06","TROY003"
"TROYQT06","TROY005"
"TROYQT06","TROY006"
"TROYQT06","TROY014"
"TROYQT06","TROY017"
"TROYQT07","TROY059"
"TROYQT07","TROY069"
"TROYQT07","TROY091"
"TROYQT08","TROY079"
"TROYQT08","TROY097"
"TROYQT09","TROY119"
"TROYQT09","TROY126"
"TROYQT10","TROY187"
"TROYQT10","TROY191"
"TROYQT10","TROY192"
"TROYQT10","TROY193"
"TROYQT11","TROY043"
"TROYQT11","TROY054"
"TROYQT12","TROY034"
"TROYQT12","TROY044"
"TROYQT13","TROY104"
"TROYQT13","TROY116"
"TROYQT13","TROY120"
"TROYQT13","TROY121"
"TROYQT13","TROY122"
"TROYQT13","TROY124"
"TROYQT14","TROY004"
"TROYQT14","TROY016"
"VAL_AT1","VAL0036"
"VAL_AT1","VAL0038"
"VAL_QT1","VAL0031"
"VAL_QT1","VAL0033"
"VDM2WQT1","VDM2W10"
"VDM2WQT1","VDM2W11"
"VDML2QT1","VDML201"
"VDML2QT1","VDML202"
"VDMLRQT1","VDMLR17"
"VDMLRQT1","VDMLR19"
"VDMWLQT1","VDMWL04"
"VDMWLQT1","VDMWL33"
"VDMWLQT2","VDMWL34"
"VDMWLQT2","VDMWL36"
"VEN_QT1","VEN0007"
"VEN_QT1","VEN0008"
"VEN_QT1","VEN0009"
"VEN_QT1","VEN0010"
"VENDQT01","VEND085"
"VENDQT01","VEND097"
"VENDQT02","VEND001"
"VENDQT02","VEND060"
"VENDQT02","VEND124"
"VENDQT03","VEND145"
"VENDQT03","VEND146"
"VENDQT03","VEND147"
"VENDQT03","VEND148"
"VENDQT03","VEND149"
"VENDQT03","VEND163"
"VENDQT03","VEND199"
"VENDQT03","VEND223"
"VENDQT03","VEND234"
"VENDQT03","VEND235"
"VENDQT04","VEND130"
"VENDQT04","VEND141"
"VENDQT05","VEND027"
"VENDQT05","VEND035"
"VENDQT06","VEND015"
"VENDQT06","VEND023"
"VENDQT07","VEND010"
"VENDQT07","VEND158"
"VENDQT08","VEND063"
"VENDQT08","VEND064"
"VENDQT09","VEND139"
"VENDQT09","VEND140"
"VENDQT10","VEND237"
"VENDQT10","VEND244"
"VENDQT10","VEND256"
"VENDQT10","VEND257"
"VENDQT10","VEND260"
"VENDQT10","VEND264"
"VENDQT10","VEND266"
"VENDQT10","VEND267"
"VENDQT10","VEND268"
"VENDQT10","VEND269"
"VENDQT10","VEND272"
"VENDQT10","VEND273"
"VENDQT11","VEND014"
"VENDQT11","VEND022"
"VENDQT12","VEND026"
"VENDQT12","VEND046"
"VENDQT12","VEND086"
"VENDQT13","VEND098"
"VENDQT13","VEND099"
"VENDQT13","VEND105"
"VENDQT13","VEND106"
"VENDQT13","VEND110"
"VENDQT13","VEND114"
"VENDQT13","VEND119"
"VENDQT13","VEND129"
"VENDQT13","VEND131"
"VENDQT14","VEND030"
"VENDQT14","VEND031"
"VENDQT15","VEND011"
"VENDQT15","VEND012"
"VENDQT15","VEND013"
"VENDQT16","VEND091"
"VENDQT16","VEND092"
"VENDQT17","VEND173"
"VENDQT17","VEND205"
"VENDQT18","VEND007"
"VENDQT18","VEND212"
"VENDQT19","VEND079"
"VENDQT19","VEND081"
"VENDQT20","VEND054"
"VENDQT20","VEND058"
"VENDQT21","VEND052"
"VENDQT21","VEND055"
"VENDQT21","VEND056"
"VENDQT22","VEND159"
"VENDQT22","VEND171"
"VENDQT23","VEND112"
"VENDQT23","VEND113"
"VENDQT24","VEND090"
"VENDQT24","VEND136"
"VENDQT25","VEND202"
"VENDQT25","VEND203"
"VENDQT25","VEND204"
"VENDQT26","VEND074"
"VENDQT26","VEND075"
"VENDQT27","VEND127"
"VENDQT27","VEND128"
"VENDQT27","VEND209"
"VENDQT28","VEND246"
"VENDQT28","VEND259"
"VENDQT29","VEND083"
"VENDQT29","VEND135"
"VFH_QT1","VFH0001"
"VFH_QT1","VFH0059"
"VFH_QT2","VFH0012"
"VFH_QT2","VFH0025"
"VFH_QT3","VFH0005"
"VFH_QT3","VFH0058"
"VFH_QT4","VFH0040"
"VFH_QT4","VFH0045"
"VFH_QT5","VFH0055"
"VFH_QT5","VFH0056"
"VRIG_QT1","VRIG101"
"VRIG_QT1","VRIG103"
"VRIG_QT1","VRIG108"
"WHN_QT1","WHN0018"
"WHN_QT1","WHN0020"
"WHN_QT2","WHN0015"
"WHN_QT2","WHN0023"
"WHN_QT3","WHN0016"
"WHN_QT3","WHN0017"
"WHN_QT3","WHN0019"
"WHN_QT3","WHN0021"
"WOS7QT01","WOS7009"
"WOS7QT01","WOS7010"
"WOS7QT02","WOS7008"
"WOS7QT02","WOS7012"
"WOS7QT02","WOS7038"
"WOS7QT03","WOS7007"
"WOS7QT03","WOS7013"
"WOS7QT03","WOS7034"
"WOS7QT04","WOS7005"
"WOS7QT04","WOS7011"
"WOS7QT04","WOS7015"
"WOS7QT04","WOS7032"
"WOS7QT05","WOS7004"
"WOS7QT05","WOS7014"
"WOS7QT06","WOS7006"
"WOS7QT06","WOS7016"
"WOS7QT07","WOS7001"
"WOS7QT07","WOS7003"
"WOS7QT07","WOS7017"
"WOS7QT08","WOS7002"
"WOS7QT08","WOS7019"
"WOS7QT09","WOS7021"
"WOS7QT09","WOS7022"
"WOS7QT10","WOS7028"
"WOS7QT10","WOS7030"
"WOS7QT11","WOS7029"
"WOS7QT11","WOS7077"
"WOS7QT12","WOS7037"
"WOS7QT12","WOS7058"
"WOS7QT13","WOS7035"
"WOS7QT13","WOS7078"
"WOS7QT14","WOS7073"
"WOS7QT14","WOS7074"
"WOS7QT15","WOS7041"
"WOS7QT15","WOS7070"
"WOS7QT16","WOS7048"
"WOS7QT16","WOS7068"
"WOS7QT17","WOS7064"
"WOS7QT17","WOS7071"
"WOS7QT18","WOS7042"
"WOS7QT18","WOS7057"
"WOS7QT18","WOS7066"
"WOS7QT19","WOS7056"
"WOS7QT19","WOS7062"
"WS3_QT1","WS30001"
"WS3_QT1","WS30002"
"WS3_QT1","WS30003"
"ZLF_QT1","ZLF0015"
"ZLF_QT1","ZLF0021"
"ZWS2_QT1","ZWS2005"
"ZWS2_QT1","ZWS2008"
"ZWS2_QT1","ZWS2009"
"ZWS2_QT1","ZWS2035"
"ZWS2_QT2","ZWS2006"
"ZWS2_QT2","ZWS2007"
"ZWS2_QT2","ZWS2010"
"ZWS2_QT3","ZWS2003"
"ZWS2_QT3","ZWS2011"
"ZWS2_QT4","ZWS2001"
"ZWS2_QT4","ZWS2013"
"ZWS2_QT5","ZWS2002"
"ZWS2_QT5","ZWS2014"
"ZWS2_QT6","ZWS2019"
"ZWS2_QT6","ZWS2020"
"ZWS2_QT7","ZWS2022"
"ZWS2_QT7","ZWS2023"
"ZWS2_QTX","ZWS2004"
"ZWS2_QTX","ZWS2012"
"ZWS4_QT1","ZWS4006"
"ZWS4_QT1","ZWS4007"
"ZWS6QT01","ZWS6005"
"ZWS6QT01","ZWS6008"
"ZWS6QT01","ZWS6010"
"ZWS6QT02","ZWS6002"
"ZWS6QT02","ZWS6007"
"ZWS6QT02","ZWS6055"
"ZWS6QT03","ZWS6006"
"ZWS6QT03","ZWS6009"
"ZWS6QT04","ZWS6011"
"ZWS6QT04","ZWS6012"
"ZWS6QT05","ZWS6004"
"ZWS6QT05","ZWS6014"
"ZWS6QT06","ZWS6003"
"ZWS6QT06","ZWS6013"
"ZWS6QT06","ZWS6035"
"ZWS6QT06","ZWS6036"
"ZWS6QT06","ZWS6037"
"ZWS6QT07","ZWS6001"
"ZWS6QT07","ZWS6039"
"ZWS6QT08","ZWS6038"
"ZWS6QT08","ZWS6040"
"ZWS6QT09","ZWS6021"
"ZWS6QT09","ZWS6022"
"ZWS6QT09","ZWS6023"
"ZWS6QT09","ZWS6024"
"ZWS6QT09","ZWS6025"
"ZWS6QT09","ZWS6034"
"ZWS6QT10","ZWS6026"
"ZWS6QT10","ZWS6027"
"ZWS6QT10","ZWS6066"
"ZWS6QT10","ZWS6067"
"ZWS6QT11","ZWS6030"
"ZWS6QT11","ZWS6033"
"ZWS6QT12","ZWS6029"
"ZWS6QT12","ZWS6031"
"ZWS6QT12","ZWS6065"
