"node","com_name","networktype"
"HOL_TATE","CPM_K3_04",2
"HOL_TRMB32","CPM_K3_04",2
"METZ_Q3","CPM_K3_04",2
"DEU_Q1","CPM_K3_05",2
"EMP_Q1","CPM_K3_05",2
"OSND_Q1","CPM_K3_05",2
"NEW_Q1","CPM_K3_06",2
"POM4_Q1","CPM_K3_06",2
"SWP_Q1","CPM_K3_06",2
"VDMWL_Q1","CPM_K3_06",2
"HOL_TITE","CPM_K3_07",2
"ILLA_Q1","CPM_K3_07",2
"TROY_Q1","CPM_K3_07",2
"068_Q1","CPM_K4_01",2
"195_Q1","CPM_K4_01",2
"1TN_Q1","CPM_K4_01",2
"BOUX_Q1","CPM_K4_01",2
"C4A_Q1","CPM_K4_01",2
"FLEV1_Q1","CPM_K4_01",2
"HOL_KBMB","CPM_K4_01",2
"HOL_LKBB","CPM_K4_01",2
"HOL_MBRU","CPM_K4_01",2
"HOL_MBUF","CPM_K4_01",2
"HOL_MRBR","CPM_K4_01",2
"HOL_TRRB","CPM_K4_01",2
"HOL_TRRS","CPM_K4_01",2
"SILL_Q2","CPM_K4_01",2
"TROY_Q1","CPM_K4_01",2
"VALK_Q2","CPM_K4_01",2
"VDM2W_Q1","CPM_K4_01",2
"VDMLR_Q1","CPM_K4_01",2
"VFH_Q2","CPM_K4_01",2
"VIGO_Q1","CPM_K4_01",2
"VNW_Q1","CPM_K4_01",2
"HOK_Q1","CPM_K4_02",2
"VALK_Q1","CPM_K4_02",2
"VDM2W_Q1","CPM_K4_02",2
"VDMLR_Q2","CPM_K4_02",2
"VDMWL_Q3","CPM_K4_02",2
"VNW_Q1","CPM_K4_02",2
"VRW_Q1","CPM_K4_02",2
"HOL_TRRB","CPM_K4_03",2
"HORB1_Q1","CPM_K4_03",2
"HORB2_Q1","CPM_K4_03",2
"HORB3_Q1","CPM_K4_03",2
"388_Q1","CPM_K4_04",2
"585_Q2","CPM_K4_04",2
"600_Q1","CPM_K4_04",2
"MEK_Q1","CPM_K4_04",2
"NOVY_Q2","CPM_K4_04",2
"068_Q1","CPM_K4_05",2
"068_Q2","CPM_K4_05",2
"HOL_TMB12","CPM_K4_05",2
"HOL_TMB21","CPM_K4_05",2
"195_Q1","CPM_K5_01",2
"C4A_Q1","CPM_K5_01",2
"HOL_KBMB","CPM_K5_01",2
"HOL_MBRU","CPM_K5_01",2
"HOL_MBUF","CPM_K5_01",2
"HOL_MRBR","CPM_K5_01",2
"HOL_TRRB","CPM_K5_01",2
