site_chronology,species,length,first_year,last_year,author,Site_context,Site_type,site_location_utm_wkt
METZ_Q2,QUSP,132,46,177,Visser,City,Civilian,SRID=23031;POINT(731948.54629984 5445898.61932994)
METZ_Q3,QUSP,75,175,249,Visser,City,Civilian,SRID=23031;POINT(731948.54629984 5445898.61932994)
MMB_Q1,QUSP,147,-139,8,Visser,Bridge,Civilian,SRID=23031;POINT(689902.389131669 5636626.88231654)
MMB_Q2,QUSP,179,-55,124,Visser,Bridge,Civilian,SRID=23031;POINT(689902.389131669 5636626.88231654)
MMB_Q3,QUSP,153,210,362,Visser,Bridge,Civilian,SRID=23031;POINT(689902.389131669 5636626.88231654)
NEW_Q1,QUSP,404,-194,210,Visser,Settlement,Civilian,SRID=23031;POINT(691471.287176458 5684163.81623004)
NOVY_Q1,QUSP,259,-279,-21,Visser,Settlement,Civilian,SRID=23031;POINT(603624.045693024 5488836.44889272)
NOVY_Q2,QUSP,85,-6,79,Visser,Settlement,Civilian,SRID=23031;POINT(603624.045693024 5488836.44889272)
NWH_Q1,QUSP,241,-154,87,Visser,Settlement,Civilian,SRID=23031;POINT(579136.047514292 5747343.22600121)
OFBG_Q1,QUSP,197,-85,112,Visser,Bridge,Civilian,SRID=23031;POINT(865239.183923017 5380641.4011032)
OSH_Q1,QUSP,249,-145,104,Visser,Settlement,Civilian,SRID=23031;POINT(674808.24801253 5739495.06730904)
OSND_Q1,QUSP,214,-126,88,Visser,Settlement,Civilian,SRID=23031;POINT(672833.264962003 5738694.96357836)
OSP_Q1,QUSP,170,-25,145,Visser,Settlement,Civilian,SRID=23031;POINT(672833.264962003 5738694.96357836)
OSW_A1,ABAL,128,-63,65,Visser,Settlement,Civilian,SRID=23031;POINT(661781.120857712 5747272.92262283)
OUD_Q1,QUSP,72,248,319,Visser,Castellum,Military,SRID=23031;POINT(500093.275778275 5670422.3678067)
POM3_Q1,QUSP,160,29,188,Visser,Ship,Unknown,SRID=23031;POINT(549790.529108671 5589109.07090388)
POM4_Q1,QUSP,95,43,137,Visser,Ship,Unknown,SRID=23031;POINT(549790.529108671 5589109.07090388)
RAT_Q1,QUSP,206,1,206,Visser,Settlement,Civilian,SRID=23031;POINT(723928.389876973 5802804.04432524)
RHH_Q1,QUSP,147,-117,30,Visser,Settlement,Civilian,SRID=23031;POINT(663869.428388842 5691161.42076623)
SAND_Q1,QUSP,214,-87,127,Visser,Bridge,Civilian,SRID=23031;POINT(841994.036899148 5368969.82152809)
SARR2_Q1,QUSP,134,113,246,Visser,Bridge,Civilian,SRID=23031;POINT(797872.974635462 5406063.68147395)
SARR2_Q2,QUSP,151,-44,107,Visser,Bridge,Civilian,SRID=23031;POINT(797872.974635462 5406063.68147395)
SARR2_Q3,QUSP,193,21,213,Visser,Bridge,Civilian,SRID=23031;POINT(797872.974635462 5406063.68147395)
SARR6_Q1,QUSP,283,-110,173,Visser,City,Civilian,SRID=23031;POINT(798234.098760434 5406167.60807871)
SAUL_Q1,QUSP,123,-120,3,Visser,Settlement,Civilian,SRID=23031;POINT(537182.452547841 5377021.91785518)
SCH_F1,FREX,164,-22,142,Visser,Settlement,Civilian,SRID=23031;POINT(596219.6464802 5755306.15554556)
SEME_Q1,QUSP,161,-24,137,Visser,Settlement,Civilian,SRID=23031;POINT(728415.812621223 5452771.71017195)
SILL_Q1,QUSP,162,-11,151,Visser,Settlement,Civilian,SRID=23031;POINT(582653.836966523 5449280.298765)
SILL_Q2,QUSP,285,-260,25,Visser,Settlement,Civilian,SRID=23031;POINT(582653.836966523 5449280.298765)
SIVR_Q1,QUSP,123,-21,102,Visser,Settlement,Civilian,SRID=23031;POINT(636864.717058035 5429459.85297006)
SPR_Q1,QUSP,224,-122,102,Visser,Settlement,Civilian,SRID=23031;POINT(588682.06361975 5746386.12400311)
STF_Q1,QUSP,378,286,663,Visser,Sub fossil wood,Natural,SRID=23031;POINT(699622.773402209 5667809.118174)
SWP_Q1,QUSP,113,49,161,Visser,Settlement,Civilian,SRID=23031;POINT(688596.819344349 5697229.3849759)
TRAG_Q1,QUSP,100,361,460,Visser,Natural place,Natural,SRID=23031;POINT(747705.957272636 5429476.21245527)
TROY_Q1,QUSP,481,-341,140,Visser,City,Civilian,SRID=23031;POINT(579968.937512004 5350190.60346128)
TROY_Q2,QUSP,59,-155,-97,Visser,City,Civilian,SRID=23031;POINT(579968.937512004 5350190.60346128)
TROY_Q3,QUSP,103,-88,15,Visser,City,Civilian,SRID=23031;POINT(579968.937512004 5350190.60346128)
ULV_A1,ABAL,166,-119,47,Visser,Military,Military,SRID=23031;POINT(639966.817859902 5772750.97888228)
VAL_A1,ABAL,168,-40,128,Visser,Vicus,Military,SRID=23031;POINT(598077.086979939 5782175.89786649)
VAL_Q1,QUSP,127,-64,63,Visser,Vicus,Military,SRID=23031;POINT(598077.086979939 5782175.89786649)
VALK_Q1,QUSP,135,-3,132,Visser,Vicus,Military,SRID=23031;POINT(598077.086979939 5782175.89786649)
VALK_Q2,QUSP,207,-104,103,Visser,Vicus,Military,SRID=23031;POINT(598077.086979939 5782175.89786649)
VDM2W_Q1,QUSP,255,-131,124,Visser,Road,Military,SRID=23031;POINT(638526.325038529 5772167.35455546)
VDML2_Q1,QUSP,78,22,99,Visser,Road,Military,SRID=23031;POINT(638532.354223641 5772166.5523588)
VDMLR_Q1,QUSP,245,-141,104,Visser,Road,Military,SRID=23031;POINT(636930.705522064 5773228.39617444)
VDMLR_Q2,QUSP,122,3,124,Visser,Road,Military,SRID=23031;POINT(636930.705522064 5773228.39617444)
VDMM_Q1,QUSP,177,-152,25,Visser,Bridge,Military,SRID=23031;POINT(640084.227768462 5771523.25763116)
VDMS1_F1,FREX,157,5,161,Visser,Revetment,Military,SRID=23031;POINT(638583.769619926 5772124.22258633)
VDMWL_A1,ABAL,120,-22,98,Visser,Road,Military,SRID=23031;POINT(637659.673335567 5772844.18190676)
VDMWL_Q1,QUSP,123,2,124,Visser,Road,Military,SRID=23031;POINT(637659.673335567 5772844.18190676)
VDMWL_Q2,QUSP,159,-67,92,Visser,Road,Military,SRID=23031;POINT(637659.673335567 5772844.18190676)
VDMWL_Q3,QUSP,98,27,124,Visser,Road,Military,SRID=23031;POINT(637659.673335567 5772844.18190676)
VDMWL_U1,ULSP,195,-83,112,Visser,Road,Military,SRID=23031;POINT(637659.673335567 5772844.18190676)
VEL_Q1,QUSP,109,-88,21,Visser,Castellum,Military,SRID=23031;POINT(614559.954078426 5811999.78568842)
VEL_Q2,QUSP,117,-89,28,Visser,Castellum,Military,SRID=23031;POINT(614559.954078426 5811999.78568842)
VEL_Q3,QUSP,65,-28,37,Visser,Castellum,Military,SRID=23031;POINT(614559.954078426 5811999.78568842)
VEN_Q1,QUSP,180,-91,89,Visser,Settlement,Civilian,SRID=23031;POINT(715136.285533668 5698533.40546352)
VEND_Q1,QUSP,457,-419,38,Visser,Settlement,Civilian,SRID=23031;POINT(629764.793253043 5496438.9642178)
VEND_Q2,QUSP,177,-333,-157,Visser,Settlement,Civilian,SRID=23031;POINT(629764.793253043 5496438.9642178)
VEND_Q3,QUSP,285,-300,-16,Visser,Settlement,Civilian,SRID=23031;POINT(629764.793253043 5496438.9642178)
VFH_Q1,QUSP,199,-47,152,Visser,City,Civilian,SRID=23031;POINT(592636.140468838 5768682.63452365)
VFH_Q2,QUSP,325,-121,204,Visser,City,Civilian,SRID=23031;POINT(592636.140468838 5768682.63452365)
VFH_Q3,QUSP,204,-47,157,Visser,City,Civilian,SRID=23031;POINT(592636.140468838 5768682.63452365)
VIGN_Q1,QUSP,63,-261,-199,Visser,Settlement,Civilian,SRID=23031;POINT(745968.240780219 5384895.40558243)
VIGO_Q1,QUSP,61,-109,-49,Visser,Settlement,Civilian,SRID=23031;POINT(691143.470853416 5404986.6925784)
VITT_Q1,QUSP,283,-421,-139,Visser,Settlement,Civilian,SRID=23031;POINT(719299.059733452 5343224.30923588)
VNW_Q1,QUSP,227,-104,123,Visser,Vicus,Military,SRID=23031;POINT(598077.086979939 5782175.89786649)
VOW_Q1,QUSP,84,17,100,Visser,Vicus,Military,SRID=23031;POINT(598077.086979939 5782175.89786649)
VRIG_Q1,QUSP,254,-315,-62,Visser,Road,Military,SRID=23031;POINT(633873.101347385 5511401.09329098)
VRW_Q1,QUSP,167,-43,124,Visser,Road,Military,SRID=23031;POINT(598243.545760936 5781981.3120306)
VZS_Q1,QUSP,140,-23,117,Visser,Revetment,Military,SRID=23031;POINT(640148.283021433 5773226.16890553)
WARC_Q1,QUSP,104,-284,-181,Visser,Bridge,Civilian,SRID=23031;POINT(621164.023476235 5514685.76699022)
WEF_Q1,QUSP,255,-214,41,Visser,Sub fossil wood,Natural,SRID=23031;POINT(639312.213720101 5798610.6619934)
WHN_Q1,QUSP,221,120,340,Visser,Settlement,Civilian,SRID=23031;POINT(720177.608339911 5761696.9416481)
ZLF_F1,FREX,281,58,338,Visser,Sub fossil wood,Natural,SRID=23031;POINT(707239.761633348 5825906.76302135)
ZLF_F2,FREX,170,278,447,Visser,Sub fossil wood,Natural,SRID=23031;POINT(707239.761633348 5825906.76302135)
ZLF_F3,FREX,75,453,527,Visser,Sub fossil wood,Natural,SRID=23031;POINT(707239.761633348 5825906.76302135)
ZLF_Q1,QUSP,563,-137,426,Visser,Sub fossil wood,Natural,SRID=23031;POINT(707239.761633348 5825906.76302135)
ZLF_Q2,QUSP,295,274,568,Visser,Sub fossil wood,Natural,SRID=23031;POINT(707239.761633348 5825906.76302135)
