Mean_A,Radius_A,Mean_B,Radius_B,overlap,r,r_wuchs,t,t_wuchs,SGC,SSGC,p,p_GLK
DEU_Q1,C,EMP_Q1,C,101,0.50358440,0.54965812,5.82888729,6.54668031,0.70000000,0.09000000,0.0000633425,NULL
DEU_Q1,C,EMP_Q1,M,101,0.39053061,0.53603345,4.24217766,6.31779919,0.73000000,0.04000000,0.0000042249,NULL
DEU_Q1,C,NEW_Q1,C,181,0.52617963,0.52484372,8.30157694,8.24946183,0.71111111,0.06111111,0.0000000147,NULL
DEU_Q1,C,OSND_Q1,M,59,0.46841711,0.62058829,4.03772310,5.97515653,0.75862069,0.00000000,0.0000817561,NULL
DEU_Q1,M,EMP_Q1,C,101,0.38599752,0.53697787,4.18425584,6.33343476,0.70000000,0.08000000,0.0000633425,NULL
DEU_Q1,M,EMP_Q1,M,101,0.26167070,0.52782232,2.71117177,6.18324130,0.73000000,0.03000000,0.0000042249,NULL
DEU_Q1,M,NEW_Q1,C,181,0.45332434,0.57428363,6.82337360,9.38536753,0.70000000,0.05555556,0.0000000803,NULL
DEU_Q1,M,NEW_Q1,M,181,0.49736510,0.54520970,7.69168322,8.70143288,0.70555556,0.03333333,0.0000000348,NULL
DIF_Q1,C,ABC_Q1,C,333,0.59675430,0.62938870,13.55066723,14.73537730,0.72891566,0.06626506,0.0000000000,NULL
DIF_Q1,C,ABC_Q1,M,333,0.33701049,0.61395735,6.52216410,14.15104545,0.70783133,0.07228916,0.0000000000,NULL
DIF_Q1,C,VEL_Q1,M,109,0.29369770,0.50785763,3.19301320,6.09829354,0.71296296,0.05555556,0.0000095840,NULL
DIF_Q1,M,ABC_Q1,C,333,0.38955238,0.61631275,7.70678496,14.23848457,0.73795181,0.03614458,0.0000000000,NULL
DIF_Q1,M,ABC_Q1,M,333,0.59655186,0.61404170,13.54352984,14.15416640,0.71686747,0.04216867,0.0000000000,NULL
DIF_Q1,M,VEL_Q1,M,109,0.07422844,0.51391121,0.77353859,6.19686422,0.72222222,0.02777778,0.0000038596,NULL
DMN1_Q1,C,MEK_Q1,M,186,0.26469240,0.54730705,3.73336414,8.87053542,0.72432432,0.03243243,0.0000000010,NULL
