Series_A,Radius_A,Series_B,Radius_B,overlap,r,r_wuchs,t,t_wuchs,SGC,SSGC,p
195023,0,195008,C,135,0.48499857,0.54714671,6.41986098,7.53850275,0.71641791,0.05223881,0.0000005431
195023,0,195008,D,197,0.23755158,0.50736812,3.42372650,8.22185025,0.67346939,0.03061224,0.0000011909
195023,0,195009,Q,115,0.02826227,0.60302374,0.30187901,8.03565696,0.71929825,0.03508772,0.0000028280
195023,0,195010,0,239,0.21895194,0.53942781,3.46182495,9.86231763,0.69747899,0.05042017,0.0000000011
195023,0,195010,A,220,0.19994064,0.51914109,3.01982765,8.96820985,0.71689498,0.03652968,0.0000000001
195023,0,195010,Q,225,0.23090255,0.55466730,3.55181407,9.95460361,0.70982143,0.04910714,0.0000000003
195023,0,195011,0,85,0.18629380,0.60465220,1.73783327,6.91615251,0.70238095,0.03571429,0.0002075016
195023,0,195011,A,85,0.20634953,0.60549994,1.93282219,6.93145597,0.75000000,0.02380952,0.0000045928
195023,0,195012,0,243,0.43842808,0.53559701,7.58855839,9.84601599,0.70661157,0.02892562,0.0000000001
195023,0,195012,B,243,0.41387282,0.51421246,7.07250855,9.30753158,0.64462810,0.04958678,0.0000068027
195023,0,195014,0,206,0.57700183,0.63150602,10.11506745,11.63276723,0.71707317,0.02926829,0.0000000005
195023,0,195014,A,202,0.54153837,0.56130904,9.13268757,9.59164862,0.67661692,0.03482587,0.0000005501
195023,0,195014,B,206,0.58488358,0.58499393,10.32435016,10.30209197,0.67804878,0.04390244,0.0000003423
195023,0,195015,0,244,0.30026624,0.57361169,4.90712463,10.89367078,0.71193416,0.02880658,0.0000000000
195023,0,195015,A,239,0.15181068,0.53688287,2.36948436,9.79688288,0.69747899,0.03361345,0.0000000011
195023,0,195016,0,204,0.52249865,0.57419597,8.73106926,9.96785103,0.74876847,0.04433498,0.0000000000
195023,0,195016,A,184,0.54660893,0.59803772,8.83030134,10.06649103,0.73224044,0.04918033,0.0000000003
195023,0,195017,0,168,0.74952566,0.65444528,14.63197539,11.15174342,0.73652695,0.02395210,0.0000000010
195023,0,195017,A,162,0.68472727,0.60253113,11.92127094,9.54958896,0.74534161,0.03726708,0.0000000005
195023,0,195018,B,190,0.56371017,0.52490975,9.38255458,8.45577531,0.66666667,0.05291005,0.0000045928
195023,0,195019,0,173,0.58104019,0.63269991,9.36295116,10.68395677,0.69186047,0.04651163,0.0000004842
195023,0,195019,A,173,0.57120202,0.59081120,9.12665373,9.57581149,0.71511628,0.05232558,0.0000000168
195023,0,195020,0,194,0.36934495,0.67508213,5.52151744,12.67950705,0.68393782,0.05181347,0.0000003210
195023,0,195020,A,194,0.24620919,0.56546426,3.52908422,9.49995285,0.65803109,0.06217617,0.0000112895
195023,0,195021,0,205,0.35854190,0.60313874,5.48572881,10.77358728,0.70588235,0.03431373,0.0000000041
195023,0,195021,A,205,0.41280487,0.53429521,6.47332745,9.00574152,0.67647059,0.02450980,0.0000004631
195023,0,195021,B,193,0.25492083,0.61330565,3.65297387,10.73127702,0.69791667,0.03125000,0.0000000414
195023,0,195022,0,212,0.25578047,0.56433737,3.84327288,9.90622282,0.69194313,0.04265403,0.0000000246
195023,0,195022,B,205,0.27648479,0.56233193,4.10917528,9.68906078,0.71568627,0.02450980,0.0000000007
195023,0,195024,0,226,0.52456124,0.55833973,9.24203743,10.07273259,0.63555556,0.06222222,0.0000476904
195023,0,195024,A,226,0.49405771,0.52339861,8.52382965,9.19331495,0.65333333,0.04000000,0.0000042249
195023,0,195025,0,218,0.43723533,0.65194186,7.16172693,12.63608282,0.70046083,0.03225806,0.0000000035
195023,0,195025,A,214,0.39257703,0.56683532,6.22958998,10.01812954,0.70892019,0.04694836,0.0000000011
195023,0,195026,0,98,0.47744457,0.57714139,5.35164188,6.92444443,0.75257732,0.02061856,0.0000006518
195023,0,195026,A,94,0.45796726,0.57128780,4.96808775,6.67633424,0.73118280,0.01075269,0.0000082384
195023,0,195026,B,96,0.44578328,0.54643592,4.85393739,6.32583530,0.72631579,0.03157895,0.0000102559
195023,0,195027,0,221,-0.03905385,0.58110595,-0.57970451,10.56683175,0.66363636,0.04545455,0.0000012085
195023,0,195027,A,221,-0.12745632,0.53320637,-1.90602794,9.32727146,0.64090909,0.05909091,0.0000291459
195023,0,195030,Q,214,0.67145462,0.50956269,13.22395903,8.62279835,0.69953052,0.04225352,0.0000000057
195023,0,195031,Q,203,0.63284652,0.54276067,11.61656078,9.16189539,0.69801980,0.02475248,0.0000000181
195023,0,195033,B,195,0.46500640,0.52637839,7.31586600,8.60062169,0.64432990,0.04639175,0.0000580586
