"Series_A","Series_B"
"195007","195026"
"195007","195031"
"195007","TROY168"
"195007","195035"
"195007","195036"
"195007","195047"
"195007","195050"
"195007","195027"
"195007","195048"
"195007","195012"
"195007","C4A_QT2"
"195007","FLEV109"
"195007","FLEV128"
"195007","FLEV_QT1"
"195007","FLEV103"
"195007","195024"
"195007","SARR609"
"195007","METZ647"
"195007","VFH0041"
"195007","VDMLR15"
"195007","SAUL102"
"195007","MMB0015"
"195007","FLEV104"
"195007","VFH0051"
"195008","195035"
"195007","VDMLR01"
"195008","195005"
"195008","195007"
"195008","195009"
"195008","195010"
"195008","195014"
"195008","195015"
"195008","195017"
"195008","195021"
"195008","195025"
"195008","195026"
"195008","195036"
"195008","195050"
"195008","FLEV_QT1"
"195008","C4A_QT2"
"195008","C4A0201"
"195008","HORB102"
"195008","FLEV113"
"195008","HORB316"
"195008","MMB0011"
"195008","MAP0003"
"195008","195031"
"195008","195019"
"195008","195022"
"195008","195027"
"195008","195028"
"195008","195047"
"195008","HORB309"
"195008","FLEV150"
"195008","FLEV106"
"195008","FLEV117"
"195008","SARR631"
"195008","TROY208"
"195008","VNW0004"
"195008","VNW0001"
"195008","195023"
"195008","195016"
"195008","195043"
"195008","C4A_QT1"
"195008","068141"
"195008","195012"
"195008","HORB311"
"195008","HORB312"
"195008","FLEV109"
"195009","195049"
"195008","VDM2W13"
"195008","VFH0015"
"195009","195014"
"195009","195020"
"195009","195003"
"195009","195050"
"195009","195008"
"195009","195027"
"195009","195028"
"195009","SILL151"
"195009","195011"
"195009","FLEV103"
"195009","195035"
"195009","TROY134"
"195009","068028"
"195009","185110"
"195009","VLD0001"
"195009","068085"
"195009","195010"
"195009","195015"
"195009","195006"
"195009","195017"
"195009","195021"
"195009","195031"
"195009","195022"
"195009","195025"
"195009","195047"
"195009","OSH0005"
"195009","VEND117"
"195009","5851804"
"195009","563_QT1"
"195009","195023"
"195009","OFBG209"
"195009","195012"
"195009","195016"
"195009","195036"
"195009","195043"
"195009","195048"
"195010","195001"
