Mean_A,Radius_A,Mean_B,Radius_B,overlap,r,r_wuchs,t,t_wuchs,SGC,SSGC,p,p_GLK
202_Q1,C,HOL_TMB12,H,142,0.31242277,0.68373816,3.90530184,11.08646689,0.70921986,0.07092199,0.0000006740,NULL
202_Q1,C,HOL_TRMB32,H,133,0.42921417,0.55964550,5.45978783,7.72919916,0.73484848,0.03030303,0.0000000680,NULL
202_Q1,C,METZ_Q3,C,75,0.59959361,0.68050625,6.44491999,7.93491536,0.74324324,0.04054054,0.0000285273,NULL
202_Q1,C,METZ_Q3,M,75,0.25932079,0.61650022,2.30977633,6.68997080,0.72972973,0.04054054,0.0000773649,NULL
202_Q1,C,STF_Q1,M,93,0.15059548,0.52833275,1.46112456,5.93610276,0.71739130,0.02173913,0.0000304215,NULL
202_Q1,C,VFH_Q2,C,101,0.57800626,0.62868280,7.08312938,8.04374671,0.71000000,0.04000000,0.0000266915,NULL
202_Q1,M,HOL_KORB,H,188,0.34731964,0.73786133,5.06482621,14.90932975,0.75401070,0.02673797,0.0000000000,NULL
202_Q1,M,HOL_MB253,H,150,0.23982210,0.57744707,3.01540073,8.60448904,0.70469799,0.03355705,0.0000005813,NULL
202_Q1,M,HOL_TATE,H,183,0.25902918,0.60971415,3.61797811,10.34903313,0.70879121,0.02197802,0.0000000177,NULL
202_Q1,M,HOL_TMB12,H,142,0.39359441,0.56183837,5.08403678,8.03600489,0.70212766,0.06382979,0.0000015846,NULL
202_Q1,M,HOL_TRMB32,H,133,0.45697469,0.57705577,5.90259620,8.08701703,0.74242424,0.03030303,0.0000000254,NULL
202_Q1,M,STF_Q1,M,93,0.42561765,0.54443959,4.51140140,6.19172899,0.71739130,0.07608696,0.0000304215,NULL
388_Q1,C,DMN1_Q1,C,121,0.59408781,0.58265465,8.09038329,7.82066770,0.69166667,0.04166667,0.0000267852,NULL
388_Q1,M,600_Q1,C,66,0.32084707,0.63896528,2.73114463,6.64519730,0.76923077,0.01538462,0.0000141697,NULL
388_Q1,M,600_Q1,M,66,0.72682281,0.62655762,8.53176967,6.43138446,0.75384615,0.00000000,0.0000425559,NULL
388_Q1,M,DMN1_Q1,C,121,0.34785740,0.56434666,4.06442028,7.45731376,0.68333333,0.03333333,0.0000590358,NULL
388_Q1,M,DMN1_Q2,M,106,0.04330067,0.55170050,0.44411642,6.74577692,0.69523810,0.00000000,0.0000630246,NULL
388_Q1,M,MB_Q1,M,113,0.31767695,0.51051744,3.54564471,6.25519116,0.68750000,0.00000000,0.0000722879,NULL
388_Q1,M,MEK_Q1,C,99,0.24807902,0.50735622,2.53510489,5.79861673,0.70408163,0.04081633,0.0000533123,NULL
563_Q1,C,068_Q1,C,233,0.51853267,0.52173199,9.23686586,9.29498535,0.68103448,0.03879310,0.0000000349,NULL
563_Q1,C,068_Q1,M,233,0.22317191,0.50043964,3.48720361,8.78525641,0.64655172,0.04741379,0.0000080286,NULL
563_Q1,C,195_Q1,C,205,0.49873233,0.55872817,8.21837060,9.59865311,0.64215686,0.04411765,0.0000489023,NULL
563_Q1,C,195_Q1,M,205,0.46533949,0.57536898,7.50890841,10.02299365,0.64215686,0.04901961,0.0000489023,NULL
563_Q1,C,587_Q1,C,309,0.69788247,0.65686668,17.10077792,15.26409969,0.73376623,0.04870130,0.0000000000,NULL
563_Q1,C,587_Q1,M,309,0.40930575,0.66487021,7.87298128,15.59586112,0.74675325,0.04545455,0.0000000000,NULL
563_Q1,C,HOL_TMB12,H,170,0.23789518,0.62543151,3.18404872,10.38925583,0.71005917,0.07692308,0.0000000472,NULL
563_Q1,C,HOL_WEDW,H,182,0.47126747,0.53084866,7.18857676,8.40396753,0.69060773,0.02209945,0.0000002917,NULL
563_Q1,C,VRIG_Q1,M,96,0.48720121,0.54738677,5.43765684,6.34154615,0.70526316,0.05263158,0.0000629913,NULL
563_Q1,M,068_Q1,C,233,0.42989358,0.54157661,7.25228938,9.79151627,0.65517241,0.03879310,0.0000022783,NULL
563_Q1,M,195_Q1,C,205,0.45183904,0.53031786,7.23411745,8.91233345,0.64215686,0.03431373,0.0000489023,NULL
563_Q1,M,195_Q1,M,205,0.51114398,0.55109631,8.49405232,9.40978184,0.66666667,0.02941176,0.0000019268,NULL
