"","node","com_name","networktype"
"229","IWRD_Q1","GN_ 9",2
"230","MAV_Q1","GN_ 9",2
"231","NWH_Q1","GN_ 9",2
"232","RAT_Q1","GN_ 9",2
"233","SILL_Q1","GN_ 9",2
"234","SPR_Q1","GN_ 9",2
"235","VDMM_Q1","GN_ 9",2
"236","VDMWL_Q2","GN_ 9",2
"237","VEL_Q2","GN_ 9",2
"238","VOW_Q1","GN_ 9",2
"239","VZS_Q1","GN_ 9",2
"240","AZW_Q1","GN_10",2
"241","HRW_Q1","GN_10",2
"242","BAR_Q1","GN_11",2
"243","BGA_Q1","GN_11",2
"244","BHC_Q1","GN_11",2
"245","BJG_Q1","GN_11",2
"246","D2A_Q1","GN_11",2
"247","DAAH_Q1","GN_11",2
"248","DEU_Q1","GN_11",2
"249","DMN4_Q1","GN_11",2
"250","EMP_Q1","GN_11",2
"251","F1B_Q1","GN_11",2
"252","FLEVO_Q1","GN_11",2
"253","HER_Q1","GN_11",2
"254","LIW_Q1","GN_11",2
"255","NEW_Q1","GN_11",2
"256","OSND_Q1","GN_11",2
"257","POM4_Q1","GN_11",2
"258","SWP_Q1","GN_11",2
"259","BECRWE","GN_12",2
"260","VFH_Q1","GN_12",2
"261","CAO_Q1","GN_13",2
"262","ZLF_Q1","GN_13",2
"263","COS_Q1","GN_14",2
"264","DIK_Q1","GN_14",2
"265","DAMP_Q1","GN_15",2
"266","FLEV1_Q2","GN_15",2
"267","HOL_TITE","GN_15",2
"268","ILLA_Q1","GN_15",2
"269","VEND_Q1","GN_15",2
"270","VEND_Q3","GN_15",2
"271","VIGN_Q1","GN_15",2
"272","WARC_Q1","GN_15",2
"273","FLOR_Q1","GN_16",2
"274","IALP_Q1","GN_16",2
"275","LMH_Q1","GN_16",2
"276","NOVY_Q1","GN_16",2
"277","HBW_Q1","GN_17",2
"278","LMH_Q2","GN_17",2
"279","HOL_AAHO","GN_18",2
"280","HOL_KMBQ","GN_18",2
"281","HOL_MB259","GN_19",2
"282","HOL_MIWA","GN_19",2
"283","HOL_TWML","GN_19",2
