"series_a","series_b","r","sgc","ssgc","overlap","p","distance_m"
"MO009","MO042","0.663394462352269","0.75","0.0104166666666667","192","4.26214619153598e-12","139376.5685178"
"MO009","MO043","0.568220752250196","0.744791666666667","0.0104166666666667","192","1.17001963673147e-11","160917.23154895"
"MO009","MO1","0.521258779882343","0.734375","0.0104166666666667","192","8.2928330868981e-11","142196.99639255"
"MO014","MO004","0.524366915243124","0.722222222222222","0","252","1.72173386658869e-12","123822.14409044"
"MO014","MO007","0.563171317753948","0.729064039408867","0","203","6.69566624367235e-11","107897.32798565"
"MO014","MO015","0.571124199751705","0.757861635220126","0","318","0","67986.84472787"
"MO015","MO014","0.571124199751705","0.757861635220126","0","318","0","67986.84472787"
"MO018","AR057","0.525337401182853","0.655038759689923","0.0116279069767442","258","6.33931861893089e-07","82216.62279363"
"MO018","AR072","0.552241558516299","0.65891472868217","0.0155038759689922","258","3.30624855493511e-07","87129.66271698"
"MO018","MO036","0.68927404675809","0.763565891472868","0.0155038759689922","258","0","0"
"MO021","MO030","0.651400789717437","0.708","0.004","250","4.78304063022961e-11","117858.57950333"
"MO021","MO033","0.532785718115469","0.671328671328671","0.0034965034965035","286","6.83775946974663e-09","211562.88068867"
"MO030","KS001","0.504144375172617","0.684","0.004","250","5.93457860631474e-09","132360.87790622"
"MO030","MO021","0.651400789717437","0.708","0.004","250","4.78304063022961e-11","117858.57950333"
"MO030","MO039","0.521264619040626","0.676","0.004","250","2.61238899401661e-08","628815.78429559"
"MO033","MO021","0.532785718115469","0.671328671328671","0.0034965034965035","286","6.83775946974663e-09","211562.88068867"
"MO033","MO036","0.525990683918761","0.730769230769231","0.00699300699300699","286","5.99520433297585e-15","89664.97950478"
"MO033","MO039","0.520782889149679","0.706081081081081","0.00337837837837838","296","1.33049127271079e-12","472684.79576996"
"MO036","AR024","0.524641148704383","0.692607003891051","0.00778210116731518","257","6.59751364651129e-10","77730.84252861"
"MO036","AR057","0.518603585352585","0.679180887372014","0.00341296928327645","293","8.5607365640783e-10","82216.62279363"
"MO036","AR072","0.553083484952011","0.689419795221843","0.0068259385665529","293","8.89148754623648e-11","87129.66271698"
"MO036","MO018","0.68927404675809","0.763565891472868","0.0155038759689922","258","0","0"
"MO036","MO033","0.525990683918761","0.730769230769231","0.00699300699300699","286","5.99520433297585e-15","89664.97950478"
"MO036","OK001","0.544891306068583","0.733788395904437","0.0068259385665529","293","1.11022302462516e-15","81678.50674499"
"MO038","AR006","0.601811400906892","0.740458015267176","0","131","3.70563157936488e-08","144243.66235943"
"MO038","AR063","0.568224616042386","0.691983122362869","0","237","3.39861161435806e-09","124332.71002715"
