"series_a","series_b","r","sgc","ssgc","overlap","p"
"ca542","ca543","0.739642068367183","0.795698924731183","0.00537634408602151","186","6.66133814775094e-16"
"ca542","ca544","0.655298280777512","0.768817204301075","0.00537634408602151","186","2.26041407813682e-13"
"ca542","ca545","0.67827391917283","0.763440860215054","0.00537634408602151","186","6.68576305429269e-13"
"ca542","ca546","0.627209134710157","0.768817204301075","0.010752688172043","186","2.26041407813682e-13"
"ca542","ca547","0.70767009520416","0.790322580645161","0.00537634408602151","186","2.44249065417534e-15"
"ca542","ca548","0.699750326430332","0.801075268817204","0.00537634408602151","186","2.22044604925031e-16"
"ca542","ca549","0.672394248237306","0.737864077669903","0.00970873786407767","103","1.37832558655404e-06"
"ca542","ca550","0.555968161734125","0.736559139784946","0.00537634408602151","186","1.10039533041117e-10"
"ca542","ca551","0.542557354799314","0.709677419354839","0.00537634408602151","186","1.07003153004825e-08"
"ca542","ca552","0.718746014258558","0.817204301075269","0.00537634408602151","186","0"
"ca542","ca553","0.637074300919872","0.720430107526882","0.010752688172043","186","1.82648074442682e-09"
"ca542","ca554","0.604419688246673","0.731182795698925","0.00537634408602151","186","2.8666113927045e-10"
"ca542","ca601","0.527853529672511","0.683333333333333","0.00555555555555556","180","8.68322808544875e-07"
"ca542","ca612","0.547452408578605","0.666666666666667","0.010752688172043","186","5.46593137196183e-06"
"ca542","mexi019","0.516978760217506","0.682795698924731","0.00537634408602151","186","6.16415348986266e-07"
"ca543","az104","0.506197664060893","0.657303370786517","0","178","2.70023678958786e-05"
"ca543","ca089","0.579318496933119","0.680851063829787","0","188","7.0707701294026e-07"
"ca543","ca512","0.722589981208914","0.720670391061452","0","179","3.53209261838572e-09"
"ca543","ca513","0.562266773738554","0.657142857142857","0","175","3.2159555632072e-05"
"ca543","ca514","0.640501406028265","0.712765957446808","0","188","5.39198730109547e-09"
"ca543","ca536","0.64414023324644","0.723076923076923","0","195","4.65841809571543e-10"
"ca543","ca537","0.656510211842518","0.707692307692308","0","195","6.61054566641894e-09"
"ca543","ca538","0.576744556699933","0.682051282051282","0","195","3.68759686342202e-07"
"ca543","ca539","0.792124749382318","0.758974358974359","0","195","4.73177053095242e-13"
"ca543","ca540","0.708134192449431","0.794871794871795","0","195","2.22044604925031e-16"
"ca543","ca541","0.549392227158959","0.733333333333333","0","195","7.18971548963054e-11"
"ca543","ca542","0.739642068367183","0.795698924731183","0.00537634408602151","186","6.66133814775094e-16"
"ca543","ca544","0.717301176900462","0.758974358974359","0","195","4.73177053095242e-13"
"ca543","ca545","0.700514596167047","0.764102564102564","0","195","1.63202784619898e-13"
"ca543","ca546","0.64449550788874","0.794871794871795","0.00512820512820513","195","2.22044604925031e-16"
"ca543","ca547","0.765969713938866","0.8","0","195","0"
"ca543","ca548","0.802082638998427","0.808510638297872","0","188","0"
"ca543","ca549","0.660731861522806","0.786407766990291","0","103","6.12009110056988e-09"
"ca543","ca550","0.580290246131524","0.733333333333333","0","195","7.18971548963054e-11"
"ca543","ca551","0.506828235432872","0.692307692307692","0","195","7.83613534061089e-08"
"ca543","ca552","0.869803628437713","0.851282051282051","0","195","0"
"ca543","ca553","0.772797580637905","0.697435897435897","0.00512820512820513","195","3.50600073417695e-08"
"ca543","ca554","0.717077345698387","0.717948717948718","0","195","1.15062892547257e-09"
"ca543","ca612","0.706725562596683","0.676923076923077","0.00512820512820513","195","7.76461476892365e-07"
"ca543","ca621","0.501857762905584","0.666666666666667","0","195","3.24379267757635e-06"
"ca544","ca512","0.688781421807735","0.713207547169811","0","265","3.87867515883045e-12"
"ca544","ca536","0.606728165195396","0.697508896797153","0","281","3.55080409519815e-11"
"ca544","ca537","0.534340121142941","0.64638783269962","0","263","2.05414271992055e-06"
"ca544","ca539","0.603967978980855","0.740213523131673","0","281","8.88178419700125e-16"
"ca544","ca540","0.630467242972672","0.735930735930736","0","231","7.40962846634829e-13"
"ca544","ca542","0.655298280777512","0.768817204301075","0.00537634408602151","186","2.26041407813682e-13"
"ca544","ca543","0.717301176900462","0.758974358974359","0","195","4.73177053095242e-13"
"ca544","ca545","0.719079291576778","0.796296296296296","0","216","0"
"ca544","ca546","0.708447101225156","0.793522267206478","0.00404858299595142","247","0"
"ca544","ca547","0.705857493908776","0.804270462633452","0","281","0"
"ca544","ca548","0.77965661833862","0.808510638297872","0","188","0"
"ca544","ca549","0.685645393175752","0.70873786407767","0","103","2.26610970048835e-05"
"ca544","ca550","0.542548234594774","0.797153024911032","0","281","0"
"ca544","ca552","0.735046168668722","0.754448398576512","0.00355871886120996","281","0"
"ca544","ca553","0.680723260663572","0.715302491103203","0.00355871886120996","281","5.26689802882174e-13"
"ca544","ca601","0.591441421161499","0.677777777777778","0","180","1.83971519485127e-06"
"ca545","ca512","0.615518297481873","0.715","0","200","1.19347176585904e-09"
"ca545","ca536","0.580464341173377","0.708333333333333","0","216","9.14129882900738e-10"
"ca545","ca537","0.558563883041444","0.680555555555556","0","216","1.11305055616739e-07"
"ca545","ca538","0.540927197704169","0.696078431372549","0","204","2.12970818758151e-08"
"ca545","ca539","0.639328123876307","0.763888888888889","0","216","8.65973959207622e-15"
"ca545","ca540","0.507457296595108","0.712962962962963","0","216","3.8545389102751e-10"
"ca545","ca542","0.67827391917283","0.763440860215054","0.00537634408602151","186","6.68576305429269e-13"
"ca545","ca543","0.700514596167047","0.764102564102564","0","195","1.63202784619898e-13"
"ca545","ca544","0.719079291576778","0.796296296296296","0","216","0"
